time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.5787,-4.7922,-2.438,0.735,-0.284,0.0459,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.6413,-4.645,-2.9223,0.7578,-0.2614,0.0462,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.4049,-4.7073,-2.9291,0.7507,-0.2692,0.0406,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.5791,-4.5401,-3.4304,0.7263,-0.2623,0.044,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.1108,943.317,774.8316,-90.4663,0.0008,-180.0,-6.6302,-4.6978,-2.8814,0.7646,-0.2774,0.0421,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0
0.06,339.1109,943.3173,774.8293,-90.4653,0.0006,180.0,-6.5472,-4.5641,-3.0881,0.7527,-0.2643,0.0492,0.0083,0.025,-0.1917,0.0833,-0.0167,-0.0
0.072,339.1108,943.317,774.8316,-90.4663,0.0008,-180.0,-6.5762,-4.5676,-2.7907,0.7452,-0.275,0.0423,-0.0083,-0.025,0.1917,-0.0833,0.0167,-0.0
0.084,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.5784,-4.755,-3.3554,0.7549,-0.251,0.0465,0.0083,0.025,-0.1917,0.0,-0.0167,-0.0
0.096,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.4232,-4.7643,-3.0561,0.7784,-0.2712,0.0473,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1108,943.317,774.8316,-90.4663,0.0008,-180.0,-6.5713,-4.4812,-3.4668,0.7315,-0.2617,0.0499,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0
0.12,339.111,943.3176,774.827,-90.4663,0.0005,179.9999,-6.4611,-4.6461,-2.8837,0.744,-0.2645,0.0414,0.0167,0.05,-0.3833,0.0,-0.025,-0.0083
0.132,339.1137,943.316,774.8316,-90.4655,0.0008,-180.0,-6.5238,-4.8379,-2.9619,0.7494,-0.2743,0.0455,0.225,-0.1333,0.3833,0.0667,0.025,0.0083
0.144,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.466,-4.5638,-2.7909,0.7361,-0.2663,0.0439,-0.2333,0.1083,-0.1917,-0.0667,-0.0167,-0.0
0.156,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.5102,-4.6085,-2.9181,0.7387,-0.2757,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.4852,-4.7362,-3.2205,0.7655,-0.2697,0.0492,0.0,0.0,0.0,0.0,0.0,0.0
0.18,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.421,-4.6237,-3.4799,0.7623,-0.258,0.0504,0.0,0.0,0.0,0.0,0.0,0.0
0.192,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.4065,-4.6798,-3.2697,0.7511,-0.2674,0.0428,-0.05,-0.1417,-0.1583,0.0,-0.0083,-0.0083
0.204,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.6483,-4.5963,-3.4276,0.7511,-0.2638,0.0504,0.05,0.1417,0.1583,0.0,0.0083,0.0083
0.216,339.1101,943.315,774.8293,-90.4663,0.0003,179.9998,-6.4673,-4.7492,-3.0481,0.7578,-0.2708,0.0482,-0.0667,-0.1917,0.0,0.0,-0.025,-0.0167
0.228,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.6093,-4.7809,-2.8725,0.7353,-0.2802,0.0423,0.0667,0.1917,0.0,0.0,0.025,0.0167
0.24,339.1109,943.3173,774.8293,-90.4663,0.0006,180.0,-6.5243,-4.7541,-2.5789,0.7473,-0.2745,0.0426,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.1095,943.3134,774.8274,-90.4663,0.0001,179.9998,-6.5693,-4.6749,-3.1761,0.7544,-0.2722,0.0459,-0.1167,-0.325,-0.1583,0.0,-0.0417,-0.0167
0.264,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.3255,-4.7185,-3.5752,0.7625,-0.2648,0.0431,0.0667,0.1833,0.0,0.0,0.0333,0.0083
0.276,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.5764,-4.6699,-3.1369,0.75,-0.268,0.0433,0.0,0.0,0.0,0.0,0.0,0.0
0.288,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.6202,-4.4884,-3.0053,0.7552,-0.2577,0.0481,0.0,0.0,0.0,0.0,0.0,0.0
0.3,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.3985,-4.5165,-3.1801,0.7561,-0.2694,0.0454,0.0,0.0,0.0,0.0,0.0,0.0
0.312,339.1132,943.3146,774.8274,-90.4665,0.0005,179.9999,-6.4443,-4.5965,-3.2195,0.7343,-0.2756,0.0414,0.2417,-0.0833,0.0,-0.0167,0.0,0.0
0.324,339.1103,943.3156,774.8274,-90.4663,0.0005,179.9999,-6.5102,-4.5903,-3.0495,0.7434,-0.2631,0.045,-0.2417,0.0833,0.0,0.0167,0.0,0.0
0.336,339.1133,943.3149,774.8251,-90.4665,0.0003,179.9998,-6.3779,-4.6739,-3.0991,0.7526,-0.2737,0.041,0.25,-0.0583,-0.1917,-0.0167,-0.0167,-0.0083
0.348,339.1134,943.3152,774.8228,-90.4665,0.0001,179.9998,-6.6062,-4.6673,-2.8711,0.7381,-0.2779,0.044,0.0083,0.025,-0.1917,0.0,-0.0167,0.0
0.36,339.1144,943.318,774.8183,-90.4665,0.0002,179.9998,-6.5255,-4.6355,-3.0409,0.7235,-0.2755,0.0436,0.0833,0.2333,-0.375,0.0,0.0083,0.0
0.372,339.1147,943.3189,774.8114,-90.4665,-0.0003,179.9996,-6.5102,-4.7951,-3.2272,0.7692,-0.2617,0.0473,0.025,0.075,-0.575,0.0,-0.0417,-0.0167
0.384,339.115,943.3197,774.8046,-90.4665,-0.0008,179.9995,-6.5352,-4.866,-4.2579,0.7776,-0.256,0.0494,0.025,0.0667,-0.5667,0.0,-0.0417,-0.0083
0.396,339.1152,943.3203,774.8,-90.4665,-0.0011,179.9993,-6.7302,-4.9393,-3.6555,0.7948,-0.2603,0.0515,0.0167,0.05,-0.3833,0.0,-0.025,-0.0167
0.408,339.1149,943.3195,774.7913,-90.4665,-0.0018,179.9991,-6.7054,-5.0766,-3.6279,0.8228,-0.2586,0.0478,-0.025,-0.0667,-0.725,0.0,-0.0583,-0.0167
0.42,339.119,943.3216,774.7844,-90.4657,-0.0019,179.9991,-6.8833,-5.3376,-3.6354,0.8647,-0.2558,0.0513,0.3417,0.175,-0.575,0.0667,-0.0083,0.0
0.432,339.1187,943.3208,774.7756,-90.4667,-0.0026,179.9988,-7.2288,-5.5395,-3.3735,0.8986,-0.2765,0.053,-0.025,-0.0667,-0.7333,-0.0833,-0.0583,-0.025
0.444,339.1195,943.3231,774.773,-90.4667,-0.0028,179.9988,-7.3275,-5.7542,-3.7529,0.9231,-0.2647,0.0662,0.0667,0.1917,-0.2167,0.0,-0.0167,0.0
0.456,339.1207,943.3265,774.7639,-90.4667,-0.0031,179.9987,-7.4758,-5.9778,-3.7592,0.9445,-0.2726,0.0633,0.1,0.2833,-0.7583,0.0,-0.025,-0.0083
